Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,11,27,0,-141,53,363,-15,0,939,-33,0,580300,0,-42,0.016602229,0.350921083
1,-150,-64,0,-221,-178,-325,-59,1,91,11,0,102500,0,28,-0.024706359,0.244633455
1,501,153,0,-325,437,418,-174,0,-120,61,-32,7476700,900,64,0.161744966,0.329194631
1,-118,-10,0,-70,-88,7,-138,0,-92,-6,0,104800,0,-30,-0.034622043,0.152914022
1,400,215,0,162,242,423,79,0,82,154,0,301200,0,159,-0.051863857,0.338533225
1,-3,-20,0,8,-29,-179,-23,0,-18,-24,24,2452400,97000,25,-0.017410229,0.9390642
1,127,154,0,56,-11,-186,-5,2,-5,27,0,199200,0,138,-0.041125541,0.320075758
1,-272,20,0,-222,-312,-1049,-522,1,-369,38,0,467800,0,40,0.045995242,0.39888977
1,1920,883,542,192,1146,827,141,0,132,82,624,2743700,1111000,774,0.312298315,0.473646468
1,51,6,0,-8,-16,135,10,0,-5,46,2,14473600,16000,67,0.083673469,0.453061224
1,-271,-127,0,-205,25,230,-17,0,-179,-299,-325,64100,3207,-295,-0.253989362,0.642287234
1,52,10,0,184,-34,-135,-65,0,-11,15,-12,1282300,538500,86,-0.085311573,0.597181009
1,890,181,0,539,133,127,-34,1,-20,17,721,805000,1016000,757,-0.010648596,0.114230397
1,72,-7,0,80,26,69,95,6,372,14,32,996400,257200,46,-0.030723489,0.585728444
1,75,-8,20,0,93,-246,76,-1,-76,210,95,102600,24000,-18,0.074175824,1.208791209
1,204,43,0,98,214,45,3,0,-1,-8,0,2300,0,-9,-0.153846154,0.801994302
1,62693,68845,40230,-7221,15804,59102,7602,20,4220,54005,-1214,295900,0,46890,-0.022926139,0.197706841
1,16134,2944,0,8426,14220,24641,2281,16,1331,2552,0,28247300,0,1913,-0.02620198,0.681251488
1,-3733,499,0,-2289,-3561,-9383,-1599,-1,348,2012,0,342700,0,-173,0.006106646,0.337119454
1,12657,11654,2332,904,11054,4231,882,5,483,939,0,-118500,0,1603,-0.048421392,0.668186211
1,-909,-1328,0,1548,-566,-1242,774,-4,677,-503,0,-12400,0,-343,-0.098779294,0.720389244
1,6922,1496,127,2292,2306,27510,-336,0,-312,2312,1532,277400,0,4616,0.08173318,0.385098664
1,4800,4191,2641,927,-325,4953,1657,12,1701,979,0,4450800,-2124954,5125,-0.053171509,0.136911778
